Title,Youtube link,Views,Date,Img link
How To Crack Campus Placements/Internships? Top tips in 20 minutes! | GeeksforGeeks,https://www.youtube.com//watch?v=3K8xY-257G8,236 views,2 hours ago,https://i.ytimg.com/vi/3K8xY-257G8/hqdefault.jpg
"I went to the House of a Zomato Software Engineer | Roadmap, Salary, Hiring, Insights, Perks etc.",https://www.youtube.com//watch?v=1WCuuJYvPFc,24K views,9 days ago,https://i.ytimg.com/vi/1WCuuJYvPFc/hqdefault.jpg
Three 90 Challenge: Ending on 31st March!,https://www.youtube.com//watch?v=j_qF5z5jazY,11K views,11 days ago,https://i.ytimg.com/vi/j_qF5z5jazY/hqdefault.jpg
GSoC 2025 | Everything You Need to Know,https://www.youtube.com//watch?v=4U8t0WUQGps,36K views,2 weeks ago,https://i.ytimg.com/vi/4U8t0WUQGps/hqdefault.jpg
Why can't Gen Z get a job?,https://www.youtube.com//watch?v=JZo33ruBBDA,1.8K views,3 weeks ago,https://i.ytimg.com/vi/JZo33ruBBDA/hqdefault.jpg
Prompts to 10x Your Coding Journey 🚀,https://www.youtube.com//watch?v=N2FP3BbyrqY,3.3K views,3 weeks ago,https://i.ytimg.com/vi/N2FP3BbyrqY/hqdefault.jpg
Binary Trees Explained in 4 Minutes!,https://www.youtube.com//watch?v=Um_sAan1LO4,2.7K views,4 weeks ago,https://i.ytimg.com/vi/Um_sAan1LO4/hqdefault.jpg
Dynamic Programming Explained in 6 Minutes,https://www.youtube.com//watch?v=ByIhiLNbahY,5K views,1 month ago,https://i.ytimg.com/vi/ByIhiLNbahY/hqdefault.jpg
I went to IIT Delhi to meet Gate AIR 20 | Crack GATE with GeeksforGeeks!,https://www.youtube.com//watch?v=ZSan8vrbWfw,2.1K views,1 month ago,https://i.ytimg.com/vi/ZSan8vrbWfw/hqdefault.jpg
Struggling with GATE? We can help boost your rank!,https://www.youtube.com//watch?v=xgHQyBP9gDM&pp=0gcJCb8Ag7Wk3p_U,1K views,2 months ago,https://i.ytimg.com/vi/xgHQyBP9gDM/hqdefault.jpg
What do Software Engineers Really Do? | Are software engineering jobs really for you?,https://www.youtube.com//watch?v=rg7B6QH7RZA,10K views,2 months ago,https://i.ytimg.com/vi/rg7B6QH7RZA/hqdefault.jpg
Get 55+ Marks Easily in GATE CS 2026 using this strategy,https://www.youtube.com//watch?v=hc4_PWFFJnk&pp=0gcJCb8Ag7Wk3p_U,37K views,2 months ago,https://i.ytimg.com/vi/hc4_PWFFJnk/hqdefault.jpg
What is Machine Learning? | Lecture 1 | Free Video,https://www.youtube.com//watch?v=1PtHLVsG_8s,4.3K views,2 months ago,https://i.ytimg.com/vi/1PtHLVsG_8s/hqdefault.jpg
A Day in the Life at IIT: Struggles & Successes 🎓 || Meet Apoorva GATE AIR 20,https://www.youtube.com//watch?v=Ioj_XA-_jIY,7.1K views,2 months ago,https://i.ytimg.com/vi/Ioj_XA-_jIY/hqdefault.jpg
DSA was hard until i learned these 10 Patterns | Master DSA Now,https://www.youtube.com//watch?v=aWjFPloGYmg,17K views,2 months ago,https://i.ytimg.com/vi/aWjFPloGYmg/hqdefault.jpg
You're missing out by not starting the Three 90 Challenge!,https://www.youtube.com//watch?v=Tcmo0fSCAJQ,443K views,2 months ago,https://i.ytimg.com/vi/Tcmo0fSCAJQ/hqdefault.jpg
Which Programming Language should you learn in 2025 ? | *Free Resources Inside*,https://www.youtube.com//watch?v=qduULN56XGk,1.9K views,2 months ago,https://i.ytimg.com/vi/qduULN56XGk/hqdefault.jpg
Your next 90 Days with Three 90 Challenge! | GeeksforGeeks,https://www.youtube.com//watch?v=SKAfmFZrODc,37K views,2 months ago,https://i.ytimg.com/vi/SKAfmFZrODc/hqdefault.jpg
How to Crack Gate CSE Exam in Just 30 Days ? | Ultimate Roadmap | @GfG_GATE,https://www.youtube.com//watch?v=p-ZRBDab5is,1.4K views,2 months ago,https://i.ytimg.com/vi/p-ZRBDab5is/hqdefault.jpg
Three 90 Challenge Winners | GeeksforGeeks,https://www.youtube.com//watch?v=-tdb0AghaSU,643 views,2 months ago,https://i.ytimg.com/vi/-tdb0AghaSU/hqdefault.jpg
Three 90 Challenge Winners | GeeksforGeeks,https://www.youtube.com//watch?v=LFxU2PSFMkQ,591 views,2 months ago,https://i.ytimg.com/vi/LFxU2PSFMkQ/hqdefault.jpg
Three 90 Challenge by GeeksforGeeks | Commonly Asked Questions | FAQs,https://www.youtube.com//watch?v=sb3a4JmUVPc,867 views,2 months ago,https://i.ytimg.com/vi/sb3a4JmUVPc/hqdefault.jpg
Three 90 Challenge Winners | GeeksforGeeks,https://www.youtube.com//watch?v=rxDSGn5OA7c,1.2K views,3 months ago,https://i.ytimg.com/vi/rxDSGn5OA7c/hqdefault.jpg
Three 90 Challenge Winners | Real Stories | GeeksforGeeks,https://www.youtube.com//watch?v=9-EHruhI6g0&pp=0gcJCb8Ag7Wk3p_U,3.3K views,3 months ago,https://i.ytimg.com/vi/9-EHruhI6g0/hqdefault.jpg
Ready to take on the challenge? | 90% Refund Challenge by GeeksforGeeks,https://www.youtube.com//watch?v=B05KjM_OLTA,193K views,3 months ago,https://i.ytimg.com/vi/B05KjM_OLTA/hqdefault.jpg
"I went to the House of a Microsoft Software Engineer | Resume Revealed |SDE Roadmap, Salary, Perks",https://www.youtube.com//watch?v=nQ-dpHJPS2c,5.4K views,3 months ago,https://i.ytimg.com/vi/nQ-dpHJPS2c/hqdefault.jpg
The Only Cyber Security Roadmap you need for 2025 |,https://www.youtube.com//watch?v=0CMNIpd-s_c,11K views,3 months ago,https://i.ytimg.com/vi/0CMNIpd-s_c/hqdefault.jpg
GeeksforGeeks is going to rock the world of Education with this move!,https://www.youtube.com//watch?v=Na5zVw3g9So,1.8K views,3 months ago,https://i.ytimg.com/vi/Na5zVw3g9So/hqdefault.jpg
How to get a job in MAANG as a College Student ? | Tips and Hacks | Roadmap,https://www.youtube.com//watch?v=dE-MlQnCT78,5.3K views,3 months ago,https://i.ytimg.com/vi/dE-MlQnCT78/hqdefault.jpg
Get your Dream Internship in the First Year of College | Step by Step Guide,https://www.youtube.com//watch?v=89A8dNvjLYw,1K views,3 months ago,https://i.ytimg.com/vi/89A8dNvjLYw/hqdefault.jpg
GfG Practice Channel Now Home to GfG 160 Challenge New Videos!,https://www.youtube.com//watch?v=_l2tH4saDl4&pp=0gcJCb8Ag7Wk3p_U,977 views,3 months ago,https://i.ytimg.com/vi/_l2tH4saDl4/hqdefault.jpg
GfG 160 | Day- 42 | Pair with given sum - 2Sum | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=gkps-WFPHYI,829 views,3 months ago,https://i.ytimg.com/vi/gkps-WFPHYI/hqdefault.jpg
These 7 AI Projects will give you an UNFAIR Advantage  | Get Placed,https://www.youtube.com//watch?v=cm1oKGS3mP4,1.4K views,3 months ago,https://i.ytimg.com/vi/cm1oKGS3mP4/hqdefault.jpg
GfG 160 | Day- 41 | Set Matrix Zeroes | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=rOcXfIP3vps,601 views,3 months ago,https://i.ytimg.com/vi/rOcXfIP3vps/hqdefault.jpg
GfG 160 | Day- 40 | Search in a Sorted Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=maEcp5OXLgg,597 views,3 months ago,https://i.ytimg.com/vi/maEcp5OXLgg/hqdefault.jpg
FREE GATE Test Series 2025 by GeeksforGeeks,https://www.youtube.com//watch?v=au6Ui7tnPxI,3.1K views,3 months ago,https://i.ytimg.com/vi/au6Ui7tnPxI/hqdefault.jpg
GfG 160 | Day- 39 | Search in a row-wise sorted | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=ln6LYCHeris,539 views,3 months ago,https://i.ytimg.com/vi/ln6LYCHeris/hqdefault.jpg
GfG 160 | Day- 38 | Search in a Row-wise and Column-wise Sorted | 160 Days Daily DSA Problem Solving,https://www.youtube.com//watch?v=aZdTzG-OmLU,585 views,3 months ago,https://i.ytimg.com/vi/aZdTzG-OmLU/hqdefault.jpg
GfG 160 | Day- 37 | Rotate Matrix | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=RUQF765u8CY,631 views,3 months ago,https://i.ytimg.com/vi/RUQF765u8CY/hqdefault.jpg
GfG 160 | Day- 36 | Spiral Traversal | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=vI67TeaN6bg,605 views,3 months ago,https://i.ytimg.com/vi/vI67TeaN6bg/hqdefault.jpg
Fastest way to become a AI Engineer in 2025 | *Free Resources Inside*,https://www.youtube.com//watch?v=kAiqXF3TyVg,2K views,3 months ago,https://i.ytimg.com/vi/kAiqXF3TyVg/hqdefault.jpg
GfG 160 | Day- 35 | Kth Missing Positive Number | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=Z2UNcqPXOPc,687 views,3 months ago,https://i.ytimg.com/vi/Z2UNcqPXOPc/hqdefault.jpg
GeeksforGeeks Classes- Now in Hyderabad!,https://www.youtube.com//watch?v=fvPrYPgDONY,222K views,3 months ago,https://i.ytimg.com/vi/fvPrYPgDONY/hqdefault.jpg
GfG 160 | Day- 34 | Allocate Minimum Pages | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=POVcprzEWq4,629 views,3 months ago,https://i.ytimg.com/vi/POVcprzEWq4/hqdefault.jpg
GfG 160 | Day- 33 | Aggressive Cows | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=xUBzyf-EixQ,713 views,3 months ago,https://i.ytimg.com/vi/xUBzyf-EixQ/hqdefault.jpg
GfG 160 | Day- 32 | K-th Element of Merged Two Sorted Arrays | 160 Days Daily DSA Problem Solving,https://www.youtube.com//watch?v=xgXJ0t_B_24,751 views,3 months ago,https://i.ytimg.com/vi/xgXJ0t_B_24/hqdefault.jpg
GfG 160 | Day- 31 | Peak Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=AqV-_bIyH30,623 views,3 months ago,https://i.ytimg.com/vi/AqV-_bIyH30/hqdefault.jpg
GfG 160 | Day- 30 | Search in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=tCZb576NK7k,700 views,3 months ago,https://i.ytimg.com/vi/tCZb576NK7k/hqdefault.jpg
GfG 160 | Day- 29 | Minimum in a Sorted and Rotated Array | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=EtX8zY-DPdE,620 views,3 months ago,https://i.ytimg.com/vi/EtX8zY-DPdE/hqdefault.jpg
GfG 160 | Day- 28 | Count Occurrences in a Sorted Array | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=CofV2PsroxI,598 views,3 months ago,https://i.ytimg.com/vi/CofV2PsroxI/hqdefault.jpg
GfG 160 | Day- 27 | Merge Two Sorted Arrays Without Extra Space | 160 Days Daily DSA Problem Solving,https://www.youtube.com//watch?v=CtmkAKGVI10&pp=0gcJCb8Ag7Wk3p_U,746 views,3 months ago,https://i.ytimg.com/vi/CtmkAKGVI10/hqdefault.jpg
GfG 160 | Day- 26 | Non-overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=-45THxt4sE8,915 views,3 months ago,https://i.ytimg.com/vi/-45THxt4sE8/hqdefault.jpg
GfG 160 | Day- 25 | Insert and Merge Interval | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=9pN0jPYvJcM,621 views,3 months ago,https://i.ytimg.com/vi/9pN0jPYvJcM/hqdefault.jpg
GfG 160 | Day- 24 | Merge Overlapping Intervals | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=NgqBuVrtB9U,700 views,3 months ago,https://i.ytimg.com/vi/NgqBuVrtB9U/hqdefault.jpg
GfG 160 | Day - 23 | Count Inversions | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=XhWxlh1ObDc,838 views,3 months ago,https://i.ytimg.com/vi/XhWxlh1ObDc/hqdefault.jpg
GfG 160 | Day - 22 | H-Index | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=9fA8Pg4Q2QI,935 views,3 months ago,https://i.ytimg.com/vi/9fA8Pg4Q2QI/hqdefault.jpg
Tech Hiring in 2025: Complete Career Guide by Bain & Company Director,https://www.youtube.com//watch?v=bVQCe5l_cZw,696 views,3 months ago,https://i.ytimg.com/vi/bVQCe5l_cZw/hqdefault.jpg
"GfG 160 | Day - 21 | Sort an array of 0s, 1s and 2s | 160 Days Daily DSA Problem Solving | GfG",https://www.youtube.com//watch?v=A-ytmX7bXE4,762 views,3 months ago,https://i.ytimg.com/vi/A-ytmX7bXE4/hqdefault.jpg
GfG 160 | FAQs Video | 160 Days Daily DSA Problem Solving,https://www.youtube.com//watch?v=EQTzVinWQ_g,1.6K views,3 months ago,https://i.ytimg.com/vi/EQTzVinWQ_g/hqdefault.jpg
GfG 160 | Day - 20 | String Rotations of each other | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=UOLi02in9BE,697 views,3 months ago,https://i.ytimg.com/vi/UOLi02in9BE/hqdefault.jpg
GeeksforGeeks- A Global Coding Community,https://www.youtube.com//watch?v=hqA1A9AUiWU&pp=0gcJCb8Ag7Wk3p_U,459 views,4 months ago,https://i.ytimg.com/vi/hqA1A9AUiWU/hqdefault.jpg
GfG 160 | Day - 19 | Min Chars to Add for Palindrome | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=Kl302p8FxS4,865 views,4 months ago,https://i.ytimg.com/vi/Kl302p8FxS4/hqdefault.jpg
GfG 160 | Day - 18 | KMP Algorithm for Pattern Searching | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=UUcec5qbfZI,912 views,4 months ago,https://i.ytimg.com/vi/UUcec5qbfZI/hqdefault.jpg
Introduction to Strings: 4-Hour Complete Video | DSA Series for Beginners,https://www.youtube.com//watch?v=qdj6l7PaulA&pp=0gcJCb8Ag7Wk3p_U,5.3K views,4 months ago,https://i.ytimg.com/vi/qdj6l7PaulA/hqdefault.jpg
GfG 160 | Day - 17 | First Non-Repeating Character | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=NxnfmfScXBE&pp=0gcJCb8Ag7Wk3p_U,679 views,4 months ago,https://i.ytimg.com/vi/NxnfmfScXBE/hqdefault.jpg
GfG 160 | Day - 16 | Anagram Check | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=Tr3s_nuSGgM,839 views,4 months ago,https://i.ytimg.com/vi/Tr3s_nuSGgM/hqdefault.jpg
GfG 160 | Day - 15 | Add Two Binary Strings | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=WMmu8ktpF3k,1.1K views,4 months ago,https://i.ytimg.com/vi/WMmu8ktpF3k/hqdefault.jpg
"I went to the House of a Microsoft Software Engineer | Life at Microsoft |SDE Roadmap, Salary, Perks",https://www.youtube.com//watch?v=vNVSlT0WgKk,17K views,4 months ago,https://i.ytimg.com/vi/vNVSlT0WgKk/hqdefault.jpg
GfG 160 | Day - 14 | String to Integer - Your Own atoi() | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=ne_Ki_sdRSk,1.7K views,4 months ago,https://i.ytimg.com/vi/ne_Ki_sdRSk/hqdefault.jpg
GfG 160 | Day - 13 | First Missing Positive | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com//watch?v=LGGKan4TOXM,889 views,4 months ago,https://i.ytimg.com/vi/LGGKan4TOXM/hqdefault.jpg
GfG 160 | Day - 12 | Maximum Sum Subarray in Circular | 160 Days Daily DSA Problem Solving | GfG,https://www.youtube.com//watch?v=l7smKuFKnNU,948 views,4 months ago,https://i.ytimg.com/vi/l7smKuFKnNU/hqdefault.jpg
"How She Cracked Google, Microsoft and Goldman Sachs? | Inspirational Journey",https://www.youtube.com//watch?v=EI_sa4mRuzY,4.5K views,4 months ago,https://i.ytimg.com/vi/EI_sa4mRuzY/hqdefault.jpg
